id,category,author,year,title_raw,title,journal_series,volume,pages,cite_Sasson,cite_Smith,cite_Gross,boundary,id_type,identifier,confidence,status,notes
G-01-001,Micah · Danites (17-18),"Amit, Yairah",1990,"“Hidden Polemic in the Conquest of Dan: Judges XVII–XVIII.” Vetus",Hidden Polemic in the Conquest of Dan: Judges 17-18,VT,40 (no.1),4-20,X,,,통독,journal-ref,VT 40 (1990) 4-20,A,RESOLVED,
G-01-002,Micah · Danites (17-18),"Athas, George",2003,"Athas, George, The Tel Dan Insaiption. A Reappraisal and a New Interpretation 0S",The Tel Dan Inscription: A Reappraisal and a New Interpretation,JSOTSup 360 (LHBOTS),360,,,,X,통독,book,"JSOTSup 360, Sheffield 2003",B,RESOLVED,OCR Insaiption->Inscription
G-01-003,Micah · Danites (17-18),"Biran, Avraham",1994,"Biran, Avraham, Biblical Dan, Jerusalem 1994.",Biblical Dan,단행본 (IES),,,,,X,off-list,book,"IES, Jerusalem 1994",B,RESOLVED,
G-01-004,Micah · Danites (17-18),"Cox, Benjamin D. and Susan Ackerman",2012,"“Micah’s Teraphim.” Journal of Hebrew Scriptures 12, article 11.",Micah’s Teraphim,JHS,12 (art.11),,X,,,통독,journal-ref,JHS 12 (2012) art.11,B,RESOLVED,★공저자정정: Cox->Cox & Ackerman(bib_sasson)
G-01-005,Micah · Danites (17-18),"Demsky, Aaron",2004,"“The Boundary of the Tribe of Dan (Joshua 19:41-46).” Pp. 261-84 in",The Boundary of the Tribe of Dan (Joshua 19:41-46),편집서,,261-284,X,,,off-list,book-chapter,,B,RESOLVED,수록 편집서 미확정
G-01-006,Micah · Danites (17-18),"Dohmen, Christoph",1982,"Dohmen, Christoph, Das Heiligtum von Dan. Aspekte religionsgeschichtlicher Darst",Das Heiligtum von Dan. Aspekte religionsgeschichtlicher Darstellung,단행본,,,,,X,off-list,book,,B,RESOLVED,
G-01-007,Micah · Danites (17-18),"Faraone, Garnand, and López-Ruiz",2005,"[R8] Micah's Mother… Curse from Carthage (KAI 89) || [R9] Faraont, C.A./Garnand/López-Ruiz",Micah’s Mother (Judg. 17:1-4) and a Curse from Carthage (KAI 89): Canaanite Precedents for Greek and Latin Curses against Thieves?,JNES,64 (no.3),161-186,X,,X,표적,DOI,10.1086/491573,A,RESOLVED,★중복병합(Faraone/Faraont). Sasson+Groß.
G-01-008,Micah · Danites (17-18),"Fernández, Andrés",2005,"Femandez, Andris, EI Santuario de Dan. Estudio Critico-exegetico sobre Jud. 1.7~",El Santuario de Dan. Estudio Crítico-exegético sobre Jud. 17-18,단행본,,,,,X,off-list,book,,B,RESOLVED,OCR Femandez->Fernández
G-01-009,Micah · Danites (17-18),"Irwin, Brian P.",1992,"“Mahaneh-Dan (Place).” AYBD 4: 473.",Mahaneh-Dan (Place),ABD (AYBD),4,473,X,,,off-list,ref-article,ABD 4:473,B,RESOLVED,사전 표제어
G-01-010,Micah · Danites (17-18),"Malamat, Abraham",1970,"“The Danite Migration and the Pan-Israelite Exodus-Conquest: A Biblical",The Danite Migration and the Pan-Israelite Exodus-Conquest: A Biblical Narrative Pattern,Biblica,51,1-16,X,,,통독,journal-ref,Biblica 51 (1970) 1-16,A,RESOLVED,독일어판=G-01-011
G-01-011,Micah · Danites (17-18),"Malamat, Abraham",1983,"- Die Wanderung der Daniten und die panisraelitische Exodus-Landnahme. Ein bibli",Die Wanderung der Daniten und die panisraelitische Exodus-Landnahme,편집서/논문집,,,,,X,off-list,book-chapter,,B,RESOLVED,G-01-010(1970 영어)의 독일어판
G-01-012,Micah · Danites (17-18),"Marcus, David",1988,"“In Defence of Micah: Judges 17:2: He Was Not a Thief.” Shofar 6: 72–80.",In Defence of Micah: Judges 17:2: He Was Not a Thief,Shofar,6,72-80,X,,,off-list,journal-ref,Shofar 6 (1988) 72-80,B,RESOLVED,
G-01-013,Micah · Danites (17-18),"Na’aman, Nadav",2005,"[R16] Danite Campaign Northward… || [R15] Na'oman, The Danite Campaign northward",The Danite Campaign Northward (Judges XVII-XVIII) and the Migration of the Phocaeans to Massalia (Strabo IV 1,4),VT,55,47-60,X,,X,통독,journal-ref,VT 55 (2005) 47-60,A,RESOLVED,★중복병합(Na'aman/Na'oman). Sasson+Groß.
G-01-014,Micah · Danites (17-18),"Neubauer, Adolf",1889,"“Where Are the Ten Tribes? II. Eldad the Danite.” Jewish Quarterly Review",Where Are the Ten Tribes? II. Eldad the Danite,JQR (o.s.),1,95-114,X,,,표적,journal-ref,JQR o.s. 1 (1889),B,RESOLVED,구 JQR(old series)
G-01-015,Micah · Danites (17-18),"Niemann, Hermann Michael",1985,"Niemann, Hermann Michael, Die Daniten. Studien zur Geschichte eines altisraeliti",Die Daniten. Studien zur Geschichte eines altisraelitischen Stammes,FRLANT,135,,,,X,통독,book,"FRLANT 135, Göttingen 1985",B,RESOLVED,
G-01-016,Micah · Danites (17-18),"Noll, K. L.",1995,"Noll, K. L., The City of Dan in the Pre-Assyrian Iron Age: Proceedingsof the Eas",The City of Dan in the Pre-Assyrian Iron Age,Proceedings (편집서),,,,,X,off-list,book-chapter,,B,RESOLVED,수록처 미확정
G-01-017,Micah · Danites (17-18),"Rowley, H. H.",1940,"“The Danite Migration to Laish.” Expository Times 51: 466–71.",The Danite Migration to Laish,Expository Times,51,466-471,X,,,off-list,journal-ref,ExpTim 51 (1940) 466-471,B,RESOLVED,
G-01-018,Micah · Danites (17-18),"Slager, Donald",2014,"“How Many Idols Did Micah Have? (Judges 17.1–18.31).” Bible Translator",How Many Idols Did Micah Have? (Judges 17.1-18.31),The Bible Translator,65,,X,,,off-list,journal-ref,BT 65 (2014),B,RESOLVED,
G-01-019,Micah · Danites (17-18),"Suriano, Matthew J.",2007,"\"The Apology of Hazael: A Literary and Historical Analysis of the Tel Dan Inscri",The Apology of Hazael: A Literary and Historical Analysis of the Tel Dan Inscription,JNES,66 (no.3),163-176,,X,,표적,DOI,10.1086/521754,A,RESOLVED,
G-01-020,Micah · Danites (17-18),"Szpek, Heidi M.",2007,"“‘Do Not Reject Your Mother’s Teaching?!’ The Function of Micah’s",‘Do Not Reject Your Mother’s Teaching?!’ The Function of Micah’s Mother in Judges 17,JHS?,,,X,,,off-list,none,미확정,B,RESOLVED,저널 미확정(JHS 추정)
G-01-021,Micah · Danites (17-18),"Vanderhooft, David",2022,"“Eshta’ol and Divination en route to Dan in Judg 18.” Pp. 61–72 in Veronika",Eshta’ol and Divination en route to Dan in Judg 18,편집서 (ed. Veronika …),,61-72,X,,,off-list,book-chapter,,B,RESOLVED,수록 편집서 미확정
G-01-022,Micah · Danites (17-18),"Yadin, Yigael",1968,"“And Dan, Why Did He Remain in Ships?” Australian Journal of Biblical",‘And Dan, Why Did He Remain in Ships’ (Judges V 17),Australian Journal of Biblical Archaeology,1,9-23,X,,,off-list,journal-ref,AJBA 1 (1968),B,RESOLVED,
